Country,Sub Region,Region
Algeria,North Africa,Africa
Egypt,North Africa,Africa
Libya,North Africa,Africa
Morocco,North Africa,Africa
Sudan,North Africa,Africa
Tunisia,North Africa,Africa
Western Sahara,North Africa,Africa
British Indian Ocean Territory,Eastern Africa,Africa
Burundi,Eastern Africa,Africa
Comoros,Eastern Africa,Africa
Djibouti,Eastern Africa,Africa
Eritrea,Eastern Africa,Africa
Ethiopia,Eastern Africa,Africa
French Southern Territories,Eastern Africa,Africa
Kenya,Eastern Africa,Africa
Madagascar,Eastern Africa,Africa
Malawi,Eastern Africa,Africa
Mauritius,Eastern Africa,Africa
Mayotte,Eastern Africa,Africa
Mozambique,Eastern Africa,Africa
Réunion,Eastern Africa,Africa
Rwanda,Eastern Africa,Africa
Seychelles,Eastern Africa,Africa
Somalia,Eastern Africa,Africa
South Sudan,Eastern Africa,Africa
"Tanzania, United Republic of",Eastern Africa,Africa
Tanzania,Eastern Africa,Africa
Uganda,Eastern Africa,Africa
Zambia,Southern Africa,Africa
Zimbabwe,Southern Africa,Africa
Angola,Central Africa,Africa
Cameroon,Central Africa,Africa
Central African Republic,Central Africa,Africa
Chad,Central Africa,Africa
Congo,Central Africa,Africa
"Congo, Democratic Republic of the",Central Africa,Africa
Democratic Republic of the Congo,Central Africa,Africa
Republic of the Congo,Central Africa,Africa
Equatorial Guinea,Central Africa,Africa
Gabon,Central Africa,Africa
Sao Tome and Principe,Central Africa,Africa
Botswana,Southern Africa,Africa
Swaziland,Southern Africa,Africa
Lesotho,Southern Africa,Africa
Namibia,Southern Africa,Africa
South Africa,Southern Africa,Africa
Benin,West Africa,Africa
Burkina Faso,West Africa,Africa
Cabo Verde,West Africa,Africa
Ivory Coast,West Africa,Africa
Gambia,West Africa,Africa
Ghana,West Africa,Africa
Guinea,West Africa,Africa
Guinea-Bissau,West Africa,Africa
Liberia,West Africa,Africa
Mali,West Africa,Africa
Mauritania,West Africa,Africa
Niger,West Africa,Africa
Nigeria,West Africa,Africa
"Saint Helena, Ascension and Tristan da Cunha",West Africa,Africa
Senegal,West Africa,Africa
Sierra Leone,West Africa,Africa
Togo,West Africa,Africa
Anguilla,Caribbean,The Americas
Antigua and Barbuda,Caribbean,The Americas
Aruba,Caribbean,The Americas
Bahamas,Caribbean,The Americas
Barbados,Caribbean,The Americas
"Bonaire, Sint Eustatius and Saba",Caribbean,The Americas
Cayman Islands,Caribbean,The Americas
Cuba,Caribbean,The Americas
Curaçao,Caribbean,The Americas
Dominica,Caribbean,The Americas
Dominican Republic,Caribbean,The Americas
Grenada,Caribbean,The Americas
Guadeloupe,Caribbean,The Americas
Haiti,Caribbean,The Americas
Jamaica,Caribbean,The Americas
Martinique,Caribbean,The Americas
Montserrat,Caribbean,The Americas
Puerto Rico,Caribbean,The Americas
Saint Barthélemy,Caribbean,The Americas
Saint Kitts and Nevis,Caribbean,The Americas
Saint Lucia,Caribbean,The Americas
Saint Martin (French part),Caribbean,The Americas
Saint Vincent and the Grenadines,Caribbean,The Americas
Sint Maarten (Dutch part),Caribbean,The Americas
Trinidad and Tobago,Caribbean,The Americas
Turks and Caicos Islands,Caribbean,The Americas
Virgin Islands (British),Caribbean,The Americas
U.S. Virgin Islands,Caribbean,The Americas
Virgin Islands (U.S.),Caribbean,The Americas
Belize,Central America,The Americas
Costa Rica,Central America,The Americas
El Salvador,Central America,The Americas
Guatemala,Central America,The Americas
Honduras,Central America,The Americas
Mexico,Central America,The Americas
Nicaragua,Central America,The Americas
Panama,Central America,The Americas
Bermuda,Northern America,The Americas
Canada,Northern America,The Americas
Greenland,Northern America,The Americas
Saint Pierre and Miquelon,Northern America,The Americas
United States of America,Northern America,The Americas
United States,Northern America,The Americas
Argentina,South America,The Americas
Bolivia,South America,The Americas
Bouvet Island,South America,The Americas
Brazil,South America,The Americas
Chile,South America,The Americas
Colombia,South America,The Americas
Ecuador,South America,The Americas
Falkland Islands (Malvinas),South America,The Americas
French Guiana,South America,The Americas
Guyana,South America,The Americas
Paraguay,South America,The Americas
Peru,South America,The Americas
South Georgia and the South Sandwich Islands,South America,The Americas
Suriname,South America,The Americas
Uruguay,South America,The Americas
Venezuela,South America,The Americas
Venezuela (Bolivarian Republic of),South America,The Americas
Kazakhstan,Central Asia,Asia
Kyrgyzstan,Central Asia,Asia
Tajikistan,Central Asia,Asia
Turkmenistan,Central Asia,Asia
Uzbekistan,Central Asia,Asia
China,East Asia,Asia
Hong Kong,East Asia,Asia
Japan,East Asia,Asia
Korea (Democratic People's Republic of) [North Korea],East Asia,Asia
South Korea,East Asia,Asia
"Korea, Republic of [South Korea]",East Asia,Asia
Macao,East Asia,Asia
Mongolia,East Asia,Asia
Brunei,Southeast Asia,Asia
Brunei Darussalam,Southeast Asia,Asia
Cambodia,Southeast Asia,Asia
Indonesia,Southeast Asia,Asia
Lao People's Democratic Republic,Southeast Asia,Asia
Laos,Southeast Asia,Asia
Malaysia,Southeast Asia,Asia
Myanmar,Southeast Asia,Asia
Philippines,Southeast Asia,Asia
Singapore,Southeast Asia,Asia
Thailand,Southeast Asia,Asia
East Timor,Southeast Asia,Asia
Timor-Leste,Southeast Asia,Asia
Viet Nam,Southeast Asia,Asia
Vietnam,Southeast Asia,Asia
Afghanistan,South Asia,Asia
Bangladesh,South Asia,Asia
Bhutan,South Asia,Asia
India,South Asia,Asia
Iran,Middle East,Asia
Iran (Islamic Republic of),Middle East,Asia
Maldives,South Asia,Asia
Nepal,South Asia,Asia
Pakistan,South Asia,Asia
Sri Lanka,South Asia,Asia
Armenia,Middle East,Asia
Azerbaijan,Middle East,Asia
Bahrain,Middle East,Asia
Cyprus,Middle East,Asia
Georgia,Middle East,Asia
Iraq,Middle East,Asia
Israel,Middle East,Asia
Jordan,Middle East,Asia
Kuwait,Middle East,Asia
Lebanon,Middle East,Asia
Oman,Middle East,Asia
"Palestine, State of",Middle East,Asia
Palestinian Territory,Middle East,Asia
Qatar,Middle East,Asia
Saudi Arabia,Middle East,Asia
Syria,Middle East,Asia
Syrian Arab Republic,Middle East,Asia
Turkey,Middle East,Asia
United Arab Emirates,Middle East,Asia
Yemen,Middle East,Asia
Belarus,Eastern Europe,Europe
Bulgaria,Eastern Europe,Europe
Czechia,Eastern Europe,Europe
Hungary,Eastern Europe,Europe
Moldova,Eastern Europe,Europe
"Moldova, Republic of",Eastern Europe,Europe
Poland,Eastern Europe,Europe
Romania,Eastern Europe,Europe
Russian Federation,Eastern Europe,Europe
Russia,Eastern Europe,Europe
Slovakia,Eastern Europe,Europe
Ukraine,Eastern Europe,Europe
Åland Islands,Northern Europe,Europe
Guernsey,Northern Europe,Europe
Jersey,Northern Europe,Europe
Sark,Northern Europe,Europe
Denmark,Northern Europe,Europe
Estonia,Northern Europe,Europe
Faroe Islands,Northern Europe,Europe
Finland,Northern Europe,Europe
Iceland,Northern Europe,Europe
Ireland,Northern Europe,Europe
Isle of Man,Northern Europe,Europe
Latvia,Northern Europe,Europe
Lithuania,Northern Europe,Europe
Norway,Northern Europe,Europe
Svalbard and Jan Mayen,Northern Europe,Europe
Sweden,Northern Europe,Europe
United Kingdom,Northern Europe,Europe
Albania,Southern Europe,Europe
Andorra,Southern Europe,Europe
Bosnia and Herzegovina,Southern Europe,Europe
Croatia,Southern Europe,Europe
Gibraltar,Southern Europe,Europe
Greece,Southern Europe,Europe
Italy,Southern Europe,Europe
Malta,Southern Europe,Europe
Montenegro,Southern Europe,Europe
Macedonia,Southern Europe,Europe
North Macedonia,Southern Europe,Europe
Portugal,Southern Europe,Europe
San Marino,Southern Europe,Europe
Serbia,Southern Europe,Europe
Slovenia,Southern Europe,Europe
Spain,Southern Europe,Europe
Austria,Western Europe,Europe
Belgium,Western Europe,Europe
France,Western Europe,Europe
Germany,Western Europe,Europe
Liechtenstein,Western Europe,Europe
Luxembourg,Western Europe,Europe
Monaco,Western Europe,Europe
Netherlands,Western Europe,Europe
Switzerland,Western Europe,Europe
Australia,Australasia,Oceania
Christmas Island,Australasia,Oceania
Cocos Islands,Australasia,Oceania
Cocos (Keeling) Islands,Australasia,Oceania
Heard Island and McDonald Islands,Australasia,Oceania
New Zealand,Australasia,Oceania
Norfolk Island,Australasia,Oceania
Fiji,Melanesia,Oceania
New Caledonia,Melanesia,Oceania
Papua New Guinea,Melanesia,Oceania
Solomon Islands,Melanesia,Oceania
Vanuatu,Melanesia,Oceania
Guam,Micronesia,Oceania
Kiribati,Micronesia,Oceania
Marshall Islands,Micronesia,Oceania
Micronesia,Micronesia,Oceania
Nauru,Micronesia,Oceania
Northern Mariana Islands,Micronesia,Oceania
Palau,Micronesia,Oceania
United States Minor Outlying Islands,Micronesia,Oceania
American Samoa,Polynesia,Oceania
Cook Islands,Polynesia,Oceania
French Polynesia,Polynesia,Oceania
Niue,Polynesia,Oceania
Pitcairn,Polynesia,Oceania
Samoa,Polynesia,Oceania
Tokelau,Polynesia,Oceania
Tonga,Polynesia,Oceania
Tuvalu,Polynesia,Oceania
Wallis and Futuna,Polynesia,Oceania
